#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.00
8,1000,0.99,8.08
16,1000,0.99,16.14
32,1000,1.01,31.74
64,1000,1.16,55.27
128,1000,1.20,106.50
256,1000,1.42,180.77
512,1000,1.49,344.27
1024,1000,1.65,620.00
2048,1000,2.31,884.68
4096,1000,3.20,1281.25
8192,1000,4.46,1838.52
16384,1000,6.41,2555.71
32768,1000,8.59,3816.87
65536,640,12.50,5243.59
131072,320,18.99,6900.99
262144,160,32.64,8031.89
524288,80,54.26,9662.30
1048576,40,96.93,10817.45
2097152,20,184.27,11380.99
4194304,10,352.17,11909.96
8388608,5,696.19,12049.25
16777216,2,1382.93,12131.66
33554432,1,2759.39,12160.08
67108864,1,5498.01,12206.02
134217728,1,11023.95,12175.11
268435456,1,22048.32,12174.87
