#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.50
2,1000,0.40,4.98
4,1000,0.40,9.95
8,1000,0.39,20.35
16,1000,0.39,40.54
32,1000,0.56,57.49
64,1000,0.55,116.26
128,1000,0.87,147.89
256,1000,0.91,281.56
512,1000,1.11,460.43
1024,1000,1.29,791.97
2048,1000,2.07,987.36
4096,1000,2.97,1380.72
8192,1000,4.80,1708.40
16384,1000,7.73,2120.41
32768,1000,13.58,2412.57
65536,640,24.98,2623.70
131072,320,45.62,2873.25
262144,160,14.51,18070.97
524288,80,25.48,20578.61
1048576,40,54.89,19103.74
2097152,20,145.48,14415.35
4194304,10,292.63,14333.34
8388608,5,610.95,13730.39
16777216,2,1874.44,8950.54
33554432,1,5485.88,6116.51
67108864,1,11786.77,5693.57
134217728,1,23537.17,5702.37
268435456,1,47127.50,5695.94
